CST XY Data Exchange Format V2

Title    = Probe Value
Xlabel   = Time / ns
Ylabel   = Electric Field / V/m

Curvelabel          = E-Field (25 -10 25)(Abs) [pw]
Filename            = ^E-Field (25 -10 25)(Abs)(pw).sig
Npoints             = 1650
Type                = 8
Subtype             = 7
Result type         = real:cartesian
View type           = Cartesian
Plot type           = Real
Data/Title          = Probe Value
X/Label             = Time
X/Unit              = ns
Y/Label             = Electric Field
Y/Unit              = V/m
Y/Logfactor         = 20
Plot/wrapHeuristics = 0

0,42016881805924	0,00033229968806327
0,42238023289113	0,00035721418749653
0,42459164772302	0,00038343584571059
0,42680306255491	0,00041092443066944
0,4290144773868	0,00043960199280331
0,43122589221869	0,00046936099948136
0,43343730705058	0,00050007577194131
0,43564872188247	0,00053161611226936
0,43786013671437	0,00056386171833478
0,44007155154626	0,00059671594982063
0,44228296637815	0,00063011718404041
0,44449438121004	0,00066404690406049
0,44670579604193	0,00069853308226999
0,44891721087382	0,00073364858129634
0,45112862570571	0,00076950443321588
0,4533400405376	0,00080623869231351
0,45555145536949	0,00084400174204642
0,45776287020138	0,00088293977117223
0,45997428503327	0,00092317811082616
0,46218569986516	0,0009648057535303
0,46439711469705	0,0010078636265747
0,46660852952894	0,0010523366661211
0,46881994436084	0,00109815168509
0,47103135919273	0,0011451811275332
0,47324277402462	0,0011932520142359
0,47545418885651	0,0012421599868494
0,4776656036884	0,0012916861793895
0,47987701852029	0,0013416160364477
0,48208843335218	0,0013917569726442
0,48429984818407	0,0014419535755172
0,48651126301596	0,0014920982660857
0,48872267784785	0,0015421364900796
0,49093409267974	0,0015920655591832
0,49314550751163	0,0016419280692963
0,49535692234352	0,0016918006837687
0,49756833717542	0,0017417795330643
0,49977975200731	0,0017919642702678
0,5019911668392	0,0018424421265907
0,50420258167109	0,0018932732646862
0,50641399650298	0,0019444789129786
0,50862541133487	0,0019960323737115
0,51083682616676	0,0020478529047111
0,51304824099865	0,0020998044215792
0,51525965583054	0,0021516978152063
0,51747107066243	0,0022032971627084
0,51968248549432	0,0022543294609839
0,52189390032621	0,0023044973266884
0,5241053151581	0,002353493457519
0,52631672998999	0,0024010157424034
0,52852814482189	0,0024467818154852
0,53073955965378	0,0024905418487988
0,53295097448567	0,0025320883785271
0,53516238931756	0,002571262515938
0,53737380414945	0,0026079558013953
0,53958521898134	0,0026421077941443
0,54179663381323	0,0026736977292633
0,54400804864512	0,0027027318176887
0,54621946347701	0,0027292261893151
0,5484308783089	0,0027531864061751
0,55064229314079	0,0027745859559133
0,55285370797268	0,0027933467846716
0,55506512280457	0,0028093235379976
0,55727653763646	0,0028222941053881
0,55948795246835	0,0028319586932844
0,56169936730025	0,0028379475192173
0,56391078213214	0,0028398356438938
0,56612219696403	0,0028371649412264
0,56833361179592	0,0028294700544851
0,57054502662781	0,0028163050940542
0,5727564414597	0,0027972695008838
0,57496785629159	0,0027720293676152
0,57717927112348	0,0027403316217637
0,57939068595537	0,0027020076410403
0,58160210078726	0,0026569657446069
0,58381351561915	0,0026051703354548
0,58602493045104	0,0025466092698125
0,58823634528293	0,0024812528835062
0,59044776011482	0,0024090100519013
0,59265917494672	0,0023296881432676
0,59487058977861	0,002242964745114
0,5970820046105	0,0021483791357376
0,59929341944239	0,0020453454477015
0,60150483427428	0,0019331887283461
0,60371624910617	0,0018111996331101
0,60592766393806	0,0016786983889057
0,60813907876995	0,0015350979695392
0,61035049360184	0,0013799546638575
